id,slug,title,original_url,wp_status,date,new_category,new_category_key,series,series_key,episode,sub_episode,new_tags,old_categories,old_tags,char_count,image_count,review_status,review_reason,featured,excerpt
565,a-story-of-more-than-20-years-of-wandering-around-the-world,世界中を２０年以上放浪し続けている話（放浪記０００）,https://qryptraveller.com/a-story-of-more-than-20-years-of-wandering-around-the-world/,publish,2021-09-30 04:03:55,放浪記,wandering,放浪記,wandering_log,0,,ヒッピー; 放浪; 旅行; 自伝,放浪記,Qリプトラベラー; ヒッピー; 地球放浪; 放浪記; 旅行記; 私小説; 自叙伝,1780,0,Published,,,"人生を旅に捧げた漢、クリプトラベラー。
エホバの証人の貧しい母子家庭に育つも、全てに嫌気がさして、宗教、高校、日本社会から脱出して独自の道を歩み始める。
その唯一無二の生き様は、人々を魅了し、インスピレーションを与え続けている。
その全てを赤裸々に描き切った放浪記が今ここに！！！"
8317,ツイッターファイル-下書き-この記事を複製して使う,ツイッターファイル　下書き　この記事を複製して使う！,https://qryptraveller.com/?p=8317,draft,2023-02-08 06:24:16,時事・情報戦,current,ツイッターファイル,twitter_files,,,イーロン・マスク; トランプ; 検閲,ツイッターファイル全記事,files; twitter; twitterfiles; イーロンマスク; イーロン・マスク; ツイッター; ツイッターファイル; トランプ; ファイル; 言論統制,14,0,Draft,wp:draft,,
10328,石垣島でキャンプする話１１-放浪記５２１,石垣島でキャンプする話１１（放浪記５２１）,https://qryptraveller.com/?p=10328,draft,2023-08-17 08:01:12,放浪記,wandering,放浪記,wandering_log,521,,,放浪記,,0,0,Draft,wp:draft,,
11508,test,test,https://qryptraveller.com/?p=11508,draft,2025-02-07 07:29:25,エッセイ・その他,essay,,none,,,,ブログ記事,,1259,0,Draft,wp:draft,,
574,story-before-born,生まれて来る前の話　（放浪記００１）,https://qryptraveller.com/story-before-born/,publish,2021-09-30 04:27:35,放浪記,wandering,放浪記,wandering_log,1,,,放浪記,ガイドスピリット; 前世; 無人島; 輪廻転生; 魂の仲間,2290,2,Published,,,
791,for-those-who-want-to-start-looking-into-q-anon,【初心者向け】Qの情報を調べ始めたい人へ,https://qryptraveller.com/for-those-who-want-to-start-looking-into-q-anon/,publish,2021-10-02 14:23:13,エッセイ・その他,essay,,none,,,Qアノン; 陰謀論,オリジナル記事,Q; Qアノン; アノン; ツイッター; 保留; 初心者; 真相論; 調べ方; 論理的思考; 陰謀論,7392,6,Published,,,"これを読めば、Qとは何なのか理解できるようになるための、基礎的な調べ方を知ることができます。
安心して飛び込んでください。"
802,childhood-life-start-with-crash-of-family-life-002,家庭崩壊から始まる幼少期の話（放浪記００２）,https://qryptraveller.com/childhood-life-start-with-crash-of-family-life-002/,publish,2021-10-03 07:21:28,放浪記,wandering,放浪記,wandering_log,2,,放浪,放浪記,エホバの証人; ギャンブル; 嫁姑; 宗教; 放浪,1969,2,Published,,,
831,the-story-of-growing-up-in-a-jehovahs-witness-home-1-autobiography-003,エホバの証人の家庭で育つ話１（放浪記００３）,https://qryptraveller.com/the-story-of-growing-up-in-a-jehovahs-witness-home-1-autobiography-003/,publish,2021-10-05 01:39:58,放浪記,wandering,放浪記,wandering_log,3,,,放浪記,エホバの証人; 宗教; 放浪記,2328,2,Published,,,
842,the-story-of-growing-up-in-a-jehovahs-witness-home-2-autobiography-004,エホバの証人の家庭で育つ話２（放浪記００４）,https://qryptraveller.com/the-story-of-growing-up-in-a-jehovahs-witness-home-2-autobiography-004/,publish,2021-10-06 01:26:58,放浪記,wandering,放浪記,wandering_log,4,,,放浪記,#エホバの証人二世; #実体験ルポルタージュ; エホバの証人,2274,2,Published,,,
869,the-story-of-my-elementary-school-days-facing-the-harshness-of-society-1-autobiography-005,社会の厳しさに向き合う小学生時代の話１（放浪記００５）,https://qryptraveller.com/the-story-of-my-elementary-school-days-facing-the-harshness-of-society-1-autobiography-005/,publish,2021-10-15 22:47:39,放浪記,wandering,放浪記,wandering_log,5,,,放浪記,#いじめ問題; #エホバの証人二世; #小学生; 放浪記,1963,2,Published,,,
