id,slug,title,link,status,date,date_gmt,creator,categories,tags,featured_id,image_count,char_count,excerpt,flags
565,a-story-of-more-than-20-years-of-wandering-around-the-world,世界中を２０年以上放浪し続けている話（放浪記０００）,https://qryptraveller.com/a-story-of-more-than-20-years-of-wandering-around-the-world/,publish,2021-09-30 04:03:55,2021-09-29 19:03:55,cryptra,放浪記,Qリプトラベラー; ヒッピー; 地球放浪; 放浪記; 旅行記; 私小説; 自叙伝,1086,0,1780,"人生を旅に捧げた漢、クリプトラベラー。
エホバの証人の貧しい母子家庭に育つも、全てに嫌気がさして、宗教、高校、日本社会から脱出して独自の道を歩み始める。
その唯一無二の生き様は、人々を魅了し、インスピレーションを与え続けている。
その全てを赤裸々に描き切った放浪記が今ここに！！！",no-images
574,story-before-born,生まれて来る前の話　（放浪記００１）,https://qryptraveller.com/story-before-born/,publish,2021-09-30 04:27:35,2021-09-29 19:27:35,cryptra,放浪記,ガイドスピリット; 前世; 無人島; 輪廻転生; 魂の仲間,3596,2,2290,,
791,for-those-who-want-to-start-looking-into-q-anon,【初心者向け】Qの情報を調べ始めたい人へ,https://qryptraveller.com/for-those-who-want-to-start-looking-into-q-anon/,publish,2021-10-02 14:23:13,2021-10-02 05:23:13,cryptra,オリジナル記事,Q; Qアノン; アノン; ツイッター; 保留; 初心者; 真相論; 調べ方; 論理的思考; 陰謀論,7502,6,7392,"これを読めば、Qとは何なのか理解できるようになるための、基礎的な調べ方を知ることができます。
安心して飛び込んでください。",
802,childhood-life-start-with-crash-of-family-life-002,家庭崩壊から始まる幼少期の話（放浪記００２）,https://qryptraveller.com/childhood-life-start-with-crash-of-family-life-002/,publish,2021-10-03 07:21:28,2021-10-02 22:21:28,cryptra,放浪記,エホバの証人; ギャンブル; 嫁姑; 宗教; 放浪,3792,2,1969,,
831,the-story-of-growing-up-in-a-jehovahs-witness-home-1-autobiography-003,エホバの証人の家庭で育つ話１（放浪記００３）,https://qryptraveller.com/the-story-of-growing-up-in-a-jehovahs-witness-home-1-autobiography-003/,publish,2021-10-05 01:39:58,2021-10-04 16:39:58,cryptra,放浪記,エホバの証人; 宗教; 放浪記,3607,2,2328,,
842,the-story-of-growing-up-in-a-jehovahs-witness-home-2-autobiography-004,エホバの証人の家庭で育つ話２（放浪記００４）,https://qryptraveller.com/the-story-of-growing-up-in-a-jehovahs-witness-home-2-autobiography-004/,publish,2021-10-06 01:26:58,2021-10-05 16:26:58,cryptra,放浪記,#エホバの証人二世; #実体験ルポルタージュ; エホバの証人,3794,2,2274,,
869,the-story-of-my-elementary-school-days-facing-the-harshness-of-society-1-autobiography-005,社会の厳しさに向き合う小学生時代の話１（放浪記００５）,https://qryptraveller.com/the-story-of-my-elementary-school-days-facing-the-harshness-of-society-1-autobiography-005/,publish,2021-10-15 22:47:39,2021-10-15 13:47:39,cryptra,放浪記,#いじめ問題; #エホバの証人二世; #小学生; 放浪記,3797,2,1963,,
882,the-story-of-my-elementary-school-days-facing-the-harshness-of-society-2-autobiography-006,社会の厳しさに向き合う小学生時代の話２（放浪記００６）,https://qryptraveller.com/the-story-of-my-elementary-school-days-facing-the-harshness-of-society-2-autobiography-006/,publish,2021-10-20 15:23:14,2021-10-20 06:23:14,cryptra,放浪記,#エホバの証人二世; #小学生; 放浪記,3801,1,1964,,
965,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-1-autobiography-007,歪みが顕著に現れてくる中学生時代の話１（放浪記００７）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-1-autobiography-007/,publish,2021-10-24 19:21:53,2021-10-24 10:21:53,cryptra,放浪記,,3804,2,2182,,
972,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-2-autobiography-008,歪みが顕著に現れてくる中学生時代の話２（放浪記００８）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-2-autobiography-008/,publish,2021-10-24 19:31:45,2021-10-24 10:31:45,cryptra,放浪記,,3807,2,2559,,
